,property_type,place_with_parent_names,region,lat-lon,area_m2, price_usd ,lat,lon,price_brl,state
1,apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.6443051,-35.7088142",110," $187,230.85 ",-8.134204,-34.906326,414222.98,Pernambuco
2,apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.6430934,-35.70484",65," $81,133.37 ",-8.1266642,-34.903924,848408.53,Pernambuco
3,house,|Brasil|Alagoas|Maceió|,Northeast,"-9.6227033,-35.7297953",211," $154,465.45 ",-8.1255503,-34.907601,299438.28,Pernambuco
4,apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.622837,-35.719556",99," $146,013.20 ",-8.1202489,-34.89592,848408.53,Pernambuco
5,apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.654955,-35.700227",55," $101,416.71 ",-8.142666,-34.906906,464129.36,Pernambuco
6,apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.614414,-35.735621",56," $75,727.07 ",-8.1376709,-34.913349,294447.66,Pernambuco
7,apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.584755,-35.662909",68," $110,916.18 ",-8.1415992,-34.909179,314410.19,Pernambuco
8,apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.658285,-35.703827",187," $249,641.14 ",-8.1273367,-34.902712,419213.6,Pernambuco
9,apartment,|Brasil|Alagoas|Maceió|,Northeast,,65," $100,792.61 ",-8.1092891,-34.907094,349344.66,Pernambuco
10,apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.66082,-35.702976",90," $115,459.02 ",-8.1092891,-34.907094,449157.45,Pernambuco
11,apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.6637998,-35.7115455",137," $361,979.65 ",-8.1267642,-34.903425,548970.21,Pernambuco
12,apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.661504,-35.702961",101," $131,061.59 ",-8.1109179,-34.898785,369307.22,Pernambuco
13,house,|Brasil|Alagoas|Marechal Deodoro|,Northeast,"-9.697809,-35.893414",140," $99,856.45 ",-8.140095,-34.90444,998127.67,Pernambuco
14,apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.629426,-35.69973",250," $466,625.47 ",-8.1272168,-34.89868,848408.53,Pernambuco
15,apartment,|Brasil|Alagoas|Maceió|,Northeast,,182," $312,051.42 ",-8.1170788,-34.899475,419213.6,Pernambuco
